timestamp,week_label,action,rows
2025-05-23 05:17:05.09835,2025-19,skipped,NA
2025-05-23 05:17:10.119206,2025-20,not_found,NA
2025-05-26 05:17:33.441145,2025-19,skipped,NA
2025-05-26 05:17:38.450339,2025-20,not_found,NA
2025-05-27 05:17:25.816533,2025-19,skipped,NA
2025-05-27 05:17:30.857771,2025-20,downloaded,911
2025-05-28 05:18:48.802258,2025-19,skipped,NA
2025-05-28 05:18:53.837241,2025-20,skipped,NA
2025-05-29 05:18:43.179889,2025-19,skipped,NA
2025-05-29 05:18:48.243456,2025-20,skipped,NA
2025-05-30 05:18:16.300754,2025-20,skipped,NA
2025-05-30 05:18:21.362157,2025-21,not_found,NA
2025-06-02 05:17:47.435756,2025-20,skipped,NA
2025-06-02 05:17:52.45366,2025-21,not_found,NA
2025-06-03 05:18:31.492372,2025-20,skipped,NA
2025-06-03 05:18:36.541889,2025-21,downloaded,909
2025-06-04 05:17:17.994335,2025-20,skipped,NA
2025-06-04 05:17:23.01157,2025-21,skipped,NA
2025-06-05 05:17:33.408536,2025-20,skipped,NA
2025-06-05 05:17:38.437775,2025-21,skipped,NA
2025-06-06 05:17:08.688614,2025-21,skipped,NA
2025-06-06 05:17:13.701166,2025-22,not_found,NA
2025-06-09 05:18:15.160678,2025-21,skipped,NA
2025-06-09 05:18:20.192104,2025-22,not_found,NA
2025-06-10 05:17:06.47252,2025-21,skipped,NA
2025-06-10 05:17:11.494622,2025-22,downloaded,909
2025-06-11 05:17:54.472819,2025-21,skipped,NA
2025-06-11 05:17:59.49028,2025-22,skipped,NA
2025-06-12 05:16:47.02228,2025-21,skipped,NA
2025-06-12 05:16:52.040548,2025-22,skipped,NA
2025-06-13 05:17:03.14526,2025-22,skipped,NA
2025-06-13 05:17:08.177007,2025-23,not_found,NA
2025-06-16 05:18:58.591454,2025-22,skipped,NA
2025-06-16 05:19:03.641864,2025-23,not_found,NA
2025-06-17 05:16:40.037872,2025-22,skipped,NA
2025-06-17 05:16:45.145177,2025-23,downloaded,907
2025-06-18 05:17:30.173196,2025-22,skipped,NA
2025-06-18 05:17:35.206001,2025-23,skipped,NA
2025-06-19 05:18:02.089798,2025-22,skipped,NA
2025-06-19 05:18:07.109826,2025-23,skipped,NA
2025-06-20 05:18:06.205692,2025-23,skipped,NA
2025-06-20 05:18:11.223207,2025-24,not_found,NA
2025-06-23 05:20:40.828358,2025-23,skipped,NA
2025-06-23 05:20:45.882329,2025-24,not_found,NA
2025-06-24 05:20:06.756308,2025-23,skipped,NA
2025-06-24 05:20:11.773978,2025-24,downloaded,907
2025-06-25 05:18:32.138684,2025-23,skipped,NA
2025-06-25 05:18:37.164129,2025-24,skipped,NA
2025-06-26 05:17:54.654725,2025-23,skipped,NA
2025-06-26 05:17:59.701624,2025-24,skipped,NA
2025-06-27 05:18:26.431453,2025-24,skipped,NA
2025-06-27 05:18:31.530062,2025-25,not_found,NA
2025-06-30 05:19:46.564864,2025-24,skipped,NA
2025-06-30 05:19:51.643596,2025-25,not_found,NA
2025-07-01 05:21:30.740925,2025-24,skipped,NA
2025-07-01 05:21:35.768251,2025-25,downloaded,908
2025-07-02 05:19:44.563231,2025-24,skipped,NA
2025-07-02 05:19:49.580756,2025-25,skipped,NA
2025-07-03 05:21:04.121397,2025-24,skipped,NA
2025-07-03 05:21:09.130814,2025-25,skipped,NA
2025-07-04 05:20:05.483002,2025-25,skipped,NA
2025-07-04 05:20:10.500815,2025-26,not_found,NA
2025-07-07 05:20:01.472899,2025-25,skipped,NA
2025-07-07 05:20:06.492689,2025-26,not_found,NA
2025-07-08 05:18:28.966655,2025-25,skipped,NA
2025-07-08 05:18:33.990396,2025-26,downloaded,908
2025-07-09 05:22:29.845011,2025-25,skipped,NA
2025-07-09 05:22:34.877736,2025-26,skipped,NA
2025-07-10 05:20:28.237084,2025-25,skipped,NA
2025-07-10 05:20:33.254596,2025-26,skipped,NA
2025-07-11 05:21:09.950264,2025-26,skipped,NA
2025-07-11 05:21:14.970018,2025-27,not_found,NA
